HITId,Input.text,Answer.sentiment.label
3YCT0L9OMMGSSJ9KXX51XVJO0EXSNY,@ecammtweets I use Call Recorder. Now that Apple opened up WebRTC all browsers could record at a remote host as well as VOIP. THX,Private
36QZ6V1589K5N9TTUYHNBQBI8AQUSS,"After listening to that call record, even I couldn't hear myself... Should be more audible on the phone gaskiya.",Private
34YWR3PJ28HX343CQ19QLR4370OX00,@HDFCLIFE Please go and listen all call record which they communicated with me. I feet chated by #HDFCLIFECHEATEDME,Private
39XCQ6V3KYBJFW5HMK6C29NAR41560,Check out the Call Recorder App I'm using to save important calls. Record both incoming and outgoing calls,Private
3SZYX62S5G72JWJM5UB48NN6MFL57Z,Gotta redo this interview because the call recorder I used didn't record the damned call. I hope the subject is as detailed as he was...,Private
39TX062QX1VTKW299OR9NP2AAC8X3V,@TataSky Ok. Gave some background. U can get the call record checked too for confirmation on discussion with me and who told what.,Private
32LAQ1JNT9W62968JYMDLV74AT4UTH,@MTN180 the call record on my call log was 4mins 42secs. How much was I charged for that?,Private
3BFF0DJK8XJQNWE4UTRD6UPGPWJSTZ,"Using #oppo #A57 from 2 months but it sholud have reboot option, Call record and double tap on the screen to lock phone. @oppomobileindia",Private
3G9UA71JVV1AQVY7UWFY9X6B4GG7JN,"@idea_cares Yes Shruti, I contacted on my billing cycle date ..why it dint change..plz check ur call record",Private
302OLP89DZE51JQZR7AWWKV6F4DAC3,"@flipkartsupport just for 200. You guys are giving lame excuses, Neither giving call record nor proof in email. Sachin head sr. Escalation",Private
3UL5XDRDNCQ6JAO5FZ3AMNJ1XZR58M,@OPPOCareIN @oppomobileindia Ya. But where is auto call record option....?? @OppocareN,Private
3MQY1YVHS3RXMB3P0SLMFI6QLVL2BH,"@AIRTEL_KE Or maybe give you my number and you can check out my call record with your softwares for the last call I made, is that OK?",Private
38G0E1M85MCLF1AXOTMSMDVP7EKUVX,@thefrankness Please ask Luke to call record store owner who sold his album. Fist arrest. Charles freeman,Private
3A520CCNWN7KYHADNYGRM8V90H7AEF,"#askphoneradar all the stock android phones dont have call recording inbuilt,most of CR apps dont record properly,kindly look deeply in matr",Private
3L60IFZKF3PBSE9TJ5YPOXFQ5SPHHD,"@amitbhawani all the stock android phones dont have call recording inbuilt,most of CR apps dont record properly,kindly look deeply in matr",Private
3VMV5CHJZ8MNXR5DZTXWHG6D1L2GTG,@GraysonDolan Same my sister passed away in a car accident,Private
31S7M7DAGGX3JJJEAKUCU8BLX2OTLZ,"@JBanks_27 please give Scotty Cole's family some prayers, as he lost his sister today in a car accident. ?",Private
39WICJI5ATZIPR2OA6FUKAILICJ3ZB,"...that we shouldn?t cure cancer because some of the survivors would die from heart disease or car accidents.""????????",Private
302OLP89DZE51JQZR7AWWKV6F4PCAH,Pretty sure i will die via car accident one day,Private
3U18MJKL1UTCL2KO0BF1IQF6EBOCN1,I was almost in a car accident today and I know I should be scared but I'm not and it worries me,Private
344M16OZKIMRI042W2LW8EF9ZN1NE5,I got into a car accident last night and I think I?m still in shock,Private
3O2Y2UIUCQ1IG8JVU0DMY4J5HTBKFF,"when you tryna play fortite with the homie, he's says he's taking a piss, takes ten minutes and then tells u he in a car accident",Private
3TLFH2L6Y9VXIXX60EC7FCCCR2XT2A,Sheree is clearly shaken; car accident or not. I?m proud of her for coming. #RHOA,Private
