HITId,Input.text,Answer.sentiment.label
3ZXNP4Z39RSGLLM7XHRBPCJ385XL7F,@dcwilliams0831 @Local4News communicable disease here. Because herd immunity IS A COMPLETE LIE.,Private
3OLZC0DJ8JMG6AFXUCXE3A7EDJBVI4,"Tree Oak fruits and bark treatment the disease many most important cancer in stages early and prostate, liver, uterus ..etc @ImmunityCP",Non-private
3E22YV8GG1DVFRTS5G172QEDDU4PNT,when they were brought over to america the trees there didnt have an immunity to a disease it carried that the european trees did so the-,Non-private
338GLSUI43IG4RW3Z9MOPQAFYNPSF5,Gluten sensitivity can cause: a) leaky gut b) autoimmunity c) neurological disease (eg. schizophrenia) d) all of the above,Non-private
31JUPBOORNBKLZRQ7MJH3CFYJP58LR,@NicoleFlockton Wasn't Ashley going to be eliminated twice except age had immunity those episodes?,Non-private
3E22YV8GG1DVFRTS5G172QEDDU4NPR,Columbus was looking for new trade routes. No idea where disease came from in 1400's Natives had no immunity. Not purposeful,Private
39KMGHJ4RZHP6EX1NPKJCDHSXTL00Q,@TonySalgado11 @Ganso_Luis @B15Heidy That looks just like immunity ????,Non-private
3ZTE0JGGCEZU3NK01QFEXFFB4LXOCW,"@TheCinderKing @polyamorous_q @TukRoll Fire immunity is a big one though, allows for a lot of creativity I think",Non-private
3D1UCPY6GGG35V111GFH7QLHJ3H83G,@carlsmythe Mother doesn?t need to be vaccinated if she has naturally aquired immunity,Non-private
3A9LA2FRWSL8E498O9GBRJ3KTH7XHJ,"I'm going to build an immunity to this shrimp allergy, even if it costs me my life.",Private
3SU800BH86ZTATEG2USIGQWHQMMQUG,[stage whispers] abuse begets abuse and no one gets immunity,Private
3OWZNK3RYLWCIACV0J2HK8YEAG92UF,@BreitbartLondon One street raided by the police. Several hundred to go. Muslims have lost their immunity.,Private
31ANT7FQN89ZCLPYI3XGZ0C00IY5HI,"@MobilePunch This are d real terrorist, this are the real enemies. Sadly thy have APC immunity but for how long can a man play God?",Private
34R0BODSP16NSBYWS2PAEXFN8265E2,"@DineshDSouza No, no immunity. And whomever said this needs to be slap! My hand is ready!!!!",Non-private
3D06DR5225QIA52Q4W4AZG0I9IYAM2,qb is too important of a position for ryan tannehill to have immunity for 7 years man,Private
3I4E7AFQ2K6XOTVE7ZIZETYTTDNTJ1,I just hand-fed my dog chicken soup and I feel like I?ve gained immunity for everything bad,Private
3ZG552ORAMBCVP1V59CMGU0XONI2V4,My brother wondering why I?m crying watching Tyson win final immunity. How can you not? #SurvivorBvW,Non-private
34HEO7RUG6197LFI940RLFUSF5XARQ,Patient presented with large Mast Cells requesting Ultrasound of Passive Immunity,Private
32TMVRKDGN5ONRK51UK0HVDNX3D841,@IndianExpress What injustice sir. Any immunity on looting,Non-private
3E9ZFLPWOYZ8AZKSURYWRV4ZTUMXIC,Things We often act as if it had no natural immunity to dictators.,Private
3TZ0XG8CBURPKXQHIPGRY3O3JVR89X,@5WrightStuff Herd Immunity. it will only be affective if 90% of the herd take it.,Non-private
3MNJFORX8BBFYPYSND9GWF0NK3L5FK,@SitaramYechury Do you condone criminal act of reporter ? Does she have immunity?,Non-private
3K3IX1W4S6YOV8Z3WCW2GKUDEN9APY,@hussam_babar @MuaazAD Hussam i guess you have immunity,Non-private
3N5YJ55YXGAOSNNQGXJACVPIE88AN2,Immunity is a gift and a curse I hope the world understands that b4 it?s too late,Non-private
3CO05SML7VCD68H0H23YW9IF6JKR0F,@vikram_hospital #HealthResolutions Fresh fruits and veggies juice will boost my immunity system,Private
3T2EL38U0MRLRX8B7Z350XVLK43QX8,The plan to grant prosecution immunity to the treasonous South Africa President Jacob Zuma is proof SA has an investigative prosecutor. Lol,Non-private
3EN4YVUOUCZ45A4YC9JW3WJZ69BXJO,"@TendayiManyange i will eat my poo if she gets charged,didnt they grant them immunity,what about letting bygons be bygons?",Private
371DNNCG44984CZVGVL8P3PFD2TT8H,gr8 sir..if human being also got that type of immunity,Non-private
3UL5XDRDNCQ6JAO5FZ3AMNJ1XZ8856,"@SonofSpears She raises a hand. ""Interesting. You know what my power entails, then? Immunity to any physical assault?""",Non-private
35A1YQPVFENZ8G0IOLF1ZCDF0VD5IB,oh shut the fuck up who cares if people get immunity i would jump at it u fuck,Private
3EFNPKWBMSVLN6WY6C22EBFZ05530O,@iamcardib Cardi drink green tea from now on. It will will help immunity. Lots of it mama,Private
35O6H0UNLSNV3RKO6301BDSFDA25JN,@drsunilbanerjee @MailOnline You should have an immunity... I hope,Non-private
3M47JKRKCX822EOJKIDFETX1TUJ86M,@ferialhaffajee If he does willingly we know the party has given him immunity prom prosecution.,Non-private
3JMNNNO3B1BPAE10VJHI2WJBVWK2WE,i guess I qualify as being really reelie smatt beeclaus I waent to yon colegge and immunity like rollie stablle,Private
3I6NF2WGIG3LCPUNYXFYE00ZLIL5GJ,@cheese_beast you should get flu jab every year as it builds immunity over time :),Non-private
3BKZLF990Z6AR2YLCVP7JB2UMAXQYE,@Imperator_Rex3 @GenFlynn Yet muller retains his power. Democratic immunity.,Private
3VJ4PFXFJ3E1ND7ZDYVWQQHCM41AUU,@TomFitton @JudicialWatch @MailOnline I believe that nullifies her immunity deal.,Non-private
3JAOYN9IHL9H4YVVPZKLG9D63HP33J,and immunity dog and have that game. By doing some Fostermans Sleep-Tite pillows.,Private
3T8DUCXY0ND8IHI5LNRMPZKQX8BT96,@TheShaws11 @5WrightStuff Not everyone has good immune systems that's the point and where herd immunity comes into play,Private
356TQKY9XF4L6E2O3SI7K7XXO5387L,Karachi: Sindh Building Control Authority has demolished over 15 shops raised on an immunity plot in Jaffer Tayyar Society.,Private
3UQVX1UPFSOW2O0F2COXV1A7UR502A,@HandmadeApoth Trial by fire? It will boost your immunity if you survive eating it?? :p,Non-private
3SSN80MU8CVZGUAGUUJ84BJCLYBXKN,@DLoesch She must have a stellar immunity deal.,Non-private
37S0QRNUFBNP6S77DXADY7TSZP9888,"The IO Revolution, Part 3 of 4: The Role of the Tumor in the Cancer Immunity Cycle",Non-private
3DW3BNF1GHPNH43KLQLNQLD0AN9V8Z,"@DLoesch Probably never, she will invoke Democratic Immunity",Non-private
