HITId,Input.text,Answer.sentiment.label
3ZXNP4Z39RSGLLM7XHRBPCJ385XL7F,@dcwilliams0831 @Local4News communicable disease here. Because herd immunity IS A COMPLETE LIE.,Private
3E22YV8GG1DVFRTS5G172QEDDU4NPR,Columbus was looking for new trade routes. No idea where disease came from in 1400's Natives had no immunity. Not purposeful,Private
3A9LA2FRWSL8E498O9GBRJ3KTH7XHJ,"I'm going to build an immunity to this shrimp allergy, even if it costs me my life.",Private
3SU800BH86ZTATEG2USIGQWHQMMQUG,[stage whispers] abuse begets abuse and no one gets immunity,Private
3OWZNK3RYLWCIACV0J2HK8YEAG92UF,@BreitbartLondon One street raided by the police. Several hundred to go. Muslims have lost their immunity.,Private
31ANT7FQN89ZCLPYI3XGZ0C00IY5HI,"@MobilePunch This are d real terrorist, this are the real enemies. Sadly thy have APC immunity but for how long can a man play God?",Private
3D06DR5225QIA52Q4W4AZG0I9IYAM2,qb is too important of a position for ryan tannehill to have immunity for 7 years man,Private
3I4E7AFQ2K6XOTVE7ZIZETYTTDNTJ1,I just hand-fed my dog chicken soup and I feel like I?ve gained immunity for everything bad,Private
34HEO7RUG6197LFI940RLFUSF5XARQ,Patient presented with large Mast Cells requesting Ultrasound of Passive Immunity,Private
3E9ZFLPWOYZ8AZKSURYWRV4ZTUMXIC,Things We often act as if it had no natural immunity to dictators.,Private
3CO05SML7VCD68H0H23YW9IF6JKR0F,@vikram_hospital #HealthResolutions Fresh fruits and veggies juice will boost my immunity system,Private
3EN4YVUOUCZ45A4YC9JW3WJZ69BXJO,"@TendayiManyange i will eat my poo if she gets charged,didnt they grant them immunity,what about letting bygons be bygons?",Private
35A1YQPVFENZ8G0IOLF1ZCDF0VD5IB,oh shut the fuck up who cares if people get immunity i would jump at it u fuck,Private
3EFNPKWBMSVLN6WY6C22EBFZ05530O,@iamcardib Cardi drink green tea from now on. It will will help immunity. Lots of it mama,Private
3JMNNNO3B1BPAE10VJHI2WJBVWK2WE,i guess I qualify as being really reelie smatt beeclaus I waent to yon colegge and immunity like rollie stablle,Private
3BKZLF990Z6AR2YLCVP7JB2UMAXQYE,@Imperator_Rex3 @GenFlynn Yet muller retains his power. Democratic immunity.,Private
3JAOYN9IHL9H4YVVPZKLG9D63HP33J,and immunity dog and have that game. By doing some Fostermans Sleep-Tite pillows.,Private
3T8DUCXY0ND8IHI5LNRMPZKQX8BT96,@TheShaws11 @5WrightStuff Not everyone has good immune systems that's the point and where herd immunity comes into play,Private
356TQKY9XF4L6E2O3SI7K7XXO5387L,Karachi: Sindh Building Control Authority has demolished over 15 shops raised on an immunity plot in Jaffer Tayyar Society.,Private
