HITId,Input.text,Answer.sentiment.label
31ODACBENUMDVGMCDPXI1PET5P8SQ9,"The U.S., no matter political affiliation, has a history of agreeing on the promotion and protection of health care for children",Private
382GHPVPHSY2MUEZPDP4QE5CHH343N,"@thehill Love Ana she keeps it real not about her party affiliation it's about what's morally right, thank you being true to your heart!",Private
30EMX9PEVKQRKDOH0KDL532K6JSKSL,@ksiddus secularism There was not as much identification with a Hindu cause as such. Today there is among people who hold no affiliation,Private
3CO05SML7VCD68H0H23YW9IF6J3R0Y,@ABC dummy as speaker of the house an elected no a tax payer funded office you better be constitutionalist no matter what party affiliation,Private
3UUSLRKAULAXN9YFK0TN6ZBYZWJD7F,@joey_girardi Wrong. No citizen is happy about this regardless of political affiliation,Private
3WRBLBQ2GRFMHI8M1R9MX5484ATG0S,Can we agree that sexual harassment/assault has nothing to do with one's political affiliation.,Private
3BCRDCM0OD1MXFQKT7AI4Y6SOUW6KM,Do you think just because you choose to ignore the science of climate change because of your political affiliation it won't effect you?,Private
3VDVA3ILIDMMO7T4XADMBANI92ZG1V,"I am called a leftist. I like socialism. I am not okay with sexual assault by anyone, no matter political affiliation.",Private
37VE3DA4YUO11167JDOT2MCSAE3BH8,Kayaba Affiliation Guild Leader of  Knights of Blood  (SAO) ^^ #Bot,Private
34YWR3PJ28HX343CQ19QLR4370P0X4,"Sexual predators are gross, regardless of political affiliation. Trump, Ailes, O'Reilly, Weinstein. #WeGrabBack",Private
39AYGO6AFFRN5LBNQK2YWQNWIP16NR,@HarryDukesJnr @joaemp @Rowley68 Pretty sure they have told anyone like that to stay away. And want no affiliation with it.,Private
336OE47KI2RY75Z2JT1T41GMSUVVWX,"@AAkpakan Absolutely! A crook is a crook, regardless of colour (or political affiliation)!",Private
3GV1I4SEO9WXHL82E7MJJYJ7DU16LP,@bWISHet5495 @melissacorrales yazzzzz but you can also check Snuggs PH (wala akong affiliation to them i just bough from them AHHAHAHA),Private
39O6Z4JLX24DW54STYXF6KUT1W1VXQ,@seanhannity Has any1 looked @ Gun ranges 4 info on vegas shooter or his political affiliation? Bank records for deposits?travel logs?phone?,Private
3X55NP42EONOBN0INXHSTCG78D03PE,"We must continue to search for our point of convergence across our background, colour and political affiliation. Just as South Africans",Private
3Z56AA6EK47HN3QNEJNYJBYWDZR6MR,"wen Pakistanis meet, even for 1st time, they make sure to vomit their political gossip without knowing what other's political affiliation is",Private
3RBI0I35XEAIK1SJEKDB639JCI2Y32,"I, an all hair color Bangtan supremacist, would like to emphasize my keen affiliation to Namjoon?s current head of pastel.",Private
3G3AJKPCXLZ32XBNEYIUG81PQIYY4N,"It represents only the family through affiliation, are the nation-state, it becomes a society and People?s Congress; in",Private
33J5JKFMK659BZ1XNAWHTH6HD9M3Q5,@EZRAwaCHELSKI We ni jamaa wa West just like your political affiliation i get you,Private
3PEG1BH7AEYS3R7FPYRQFESK2V7BKC,"Former Affiliation: 104th Trainees Squad, Military Police. #AnnieBot",Private
3J94SKDEKIWI05KWW7EQ8FX28QOD50,@EZWayCure @betterpakistan @KlasraRauf Being Pro PTI is a Disgrace on the face of Political Affiliation ?? Slay Baby Slay ??,Private
3BS6ERDL93EEJ9KA1QOV0LB24LZD6G,@NelsonHavi Laughable. It has nothing to do with your political affiliation. You?re just not a good lawyer.,Private
373L46LKP7DYLA5RDQ47D2BXA0GJK5,The kid literally loves toilet talk. He talks so passionately about the toilet like it is his political affiliation.,Private
31MCUE39BKTIYA7JKER5Z32F7MDG3N,"JonTron is friends with Mike Matei, who is also friends with Vinny from Vinesauce. So are Mike and Vinny by affiliation racist? ofc no.",Private
3ZQX1VYFTDCSRKUNKEZ9VTJSEUWO8A,@wesbadia @SoccerPrime The Ogden Outlaws had zero affiliation with Weber State.,Private
3CMIQF80GNX88IOF6CUF0KI1N0O6QE,"@EilidhPinkChic @drruthmitchell @drewseybaby @claireymck No actual affiliation between them, but that's how it's panned out for me!",Private
3I4E7AFQ2K6XOTVE7ZIZETYTTD7TJL,The full and complete extermination of all Jewish people's is imperative you will be held accountable for any ignorant affiliation with Jews,Private
3UXQ63NLAAT3NXPXAY3RUE5ZRVCBLF,"@wolfx951 Hi there, we don't have any affiliation with this company. JA",Private
3BO3NEOQM0OWEMCZJH6I7NT1S9XIAD,"all reprobates suck, despite affiliation... pig #LyingDonald #haiku #LockHimUp #DonTheCon #TrumpResign #TrumpRussia #impeach #amendment25",Private
3D7VY91L654NTF7IAA46URKOR02BMH,"We need to take into account national security and crime risks: gang affiliation, organized crime affiliation, terror affiliation, etc.",Private
3HJ1EVZS2OQ9N0GX0PLHY7GM9VOR3U,@DonCull2 @maxandjoeyrun2 @RALangJr @gus_gus_goose @karen_haney27 @ShaunKing I agree to that of any religion or political affiliation.,Private
3DA79LNS592M3FTP4EQCYMH4XGL3TJ,@realDonaldTrump Don't want equal time. No affiliation whatsoever.,Private
3D17ECOUOE2LUVHG2V62SGY95XU138,"@Scrivenshaft_ Political affiliation, no. But if they?re spewing hate for other side, yeah, they can die",Private
3S4TINXCC0UBTISUNQJJMV9TM0HBOW,@ElijahCHAOTIC @SeanyRedd @JesseSburgess @RiceGum Ypu think everything is affiliation due to your little Clickbank scheme I see.,Private
3Q9SPIIRWJTEFHW48YAX8E297KVWAY,@JeremyHimli I don't remember claiming affiliation with @TheDemocrats.,Private
33BFF6QPI1IEVWXJZJVNL6O31A33W9,@nytopinion Google --- Political affiliation of mass shooters . Know who they are,Private
3S4TINXCC0UBTISUNQJJMV9TM0HOB9,@DineshDSouza Women are somehow valued or devalued depending on the political affiliation of the perve?!,Private
3B623HUYJ4X7PCMGRVGIFYTTBJZ8SR,@MamieTroy @washingtonpost Google ---Political affiliation of mass shooters..... for the answer,Private
3EGKVCRQFWZNNWWWTDSHOM7V0AFYBT,"I wish amidst our political affiliation, we see the truth in everything. Give credit where it due or otherwise bt ultimately peace for Kenya",Private
3IKDQS3DQE7K719X3V29DIJPSCIICF,"@JulianAssange @TruthinGov2016 twitter is filtering content per user by political affiliation and location, total censorship",Private
375VMB7D4JQUCTFB3RXKXO17DCUIDF,#HowITreatOthers As though their political affiliation does NOT define them as a human being.,Private
3XH7ZM9YX21V225DHYMRPKJ89NY9RT,"@deplorable24 Seriously??!!! What a horrible sentiment, regardless of your affiliation.",Private
32TZXEA1OLR6CR0K29BL2LQFJXQ14T,"@StuntBirdArmy look for people with ""chapo"" in their twitter bio who have no official affiliation with the show",Private
3ZTE0JGGCEZU3NK01QFEXFFB4LHOCG,"@forcedexit investment in an inc is about an individual having faith in the inc's future profit, not its religious affiliation",Private
3J5XXLQDHMI1G7XE99QRZ45PU113VZ,"@Matt_Maisel That's right. And the 44 was way before any affiliation or interest in Syracuse, the ND=Notre Dame",Private
3K2CEDRACB8NP11ZAWVRULQAX72TMP,"@fritbits @Gar_Rett Felix, (1) what's your affiliation with my man Garrett and (2) is that a butterfly in your tum tum?",Private
3Y3CZJSZ9K0C1F31E89AD4E6NRFR5K,You think their victims care about political affiliation or back story? They care about their experience and how to deal with it.,Private
32ZCLEW0BZRZW127QI9F9JXW4AMPJC,As much as I make fun of people for rooting for big market teams that they have no affiliation to I really can't blame them.,Private
3INZSNUD80X11SM8ZXR7KV24UM7D9R,@scarylawyerguy I'm fully prepared to consider harassers and sexists scum regardless of affiliation,Private
3VZYA8PITO5O1LJ2KVQVT8DJE1G05V,Here?s a hot take: I don?t care about the political affiliation of a sexual predator. Condemn them either way. They?re garbage. Full stop.,Private
3XD2A6FGFN173H5QWNMWFUO4VPH9SH,Among the ancient Romans no one was ever singled out because of the color of their skin or religious affiliation or language,Private
3AJA9FLWSC5RADT7UXSALO4SPPAIFQ,Kubwa's only political affiliation is 'eat the rich'. She's not socialist or something she just really likes eating the rich,Private
34R0BODSP16NSBYWS2PAEXFN82PE5U,@Mayor_Malick @ShaunKing Confusion of black panther affiliation.,Private
3APP19WN71LHVTU13GP366EZHDFG6T,"@morningmika Good. We have to show that sexual predators, regardless of political affiliation, will not be tolerated",Private
3G4VVJO6PZNU7L8P839RAYX9JZMKP6,@GOPChairwoman I'm so sick of the deflection as to people outside your political affiliation don't dislike horrible behavior. So ironic!,Private
362E9TQF2HXXODP25HYS3944Q4AIGP,Newsweek demonizes Vegas shooter-WHITE CHRISTIAN MALE. Family- no religious affiliation. Newsweek Silent on Islamic terrorism.,Private
378G7J1SJL5H5UDGO3CJ4XS0SZTWET,@dyls011 @nateman010276 @whipmebabe @_MissHowl @lana_rain Had no clue she had any affiliation with NZ lol,Private
3P6ENY9P793BO9KDPNGAO9G554NIHO,@CNNPolitics I think it's ridiculous that politics are coming into this. He's a creep?who cares what his political affiliation is?,Private
3R5OYNIC2CGTA4YC2CNJBPK52CDTPL,michigan or michigan state? 2 colleges i have 0 affiliation with? i'll just flip a coin the day of and call it a day,Private
3KA7IJSNW6CTEI4V2QWYBVEJW5DBPD,@senatorsajidmir Also clear the statement of mr. Umer sadique On political affiliation,Private
3OID399FXGEA22DL2JRZUROFXK2FDL,"If you can pair a social media description w/ a brand affiliation, that?s even better! Don?t even have to mention their name.",Private
3L2OEKSTW9H4LYYPQ187XKHUS4UY8U,"@michaelcoren It's actually shocking to me how much of one's identity in the US is tied to a political affiliation. ""He's a liberal BUT...""",Private
34HEO7RUG6197LFI940RLFUSF5GRAQ,@Heather30509470 @scifiction1 @Mikel_Jollett I'm still trying to figure out your political affiliation. You do have some good comments.,Private
3HO4MYYR12V00BVWNLEKALFQQLU6UJ,"Libs. say conservatives are violent.When have we rioted, looted,shot or, threaten to kill based on ideology, political affiliation or, race?",Private
3WA2XVDZEMOJBFYAXLZF63TN4X0E6A,@lisalyontaylor TCU beat Baylor badly multiple times before even joining the Big 12. But nice attempt at conference affiliation smack talk.,Private
34O39PNDK6FEQVKAFI0NGQEYXN1BR5,Sexual harassment doesn't have a political affiliation. Stop trying to make it so. #ibelieveyou,Private
34O39PNDK6FEQVKAFI0NGQEYXN1RBL,Went to church and had lunch with her because she?s leaving for affiliation next Sunday. ??,Private
3S8A4GJRD3A0DQKWSBOP67H94S36V8,"@PolitiBunny Amazing that any of this behavior is tolerated, by any political affiliation, and gets excused because of career path.",Private
3NBFJK3IOHP7KZ053CBXN60Q2D9OGQ,@panamapammie @DaKansasTroll @nycsouthpaw @realDonaldTrump We're buddies. I don't have a political affiliation. I'm pro-reason.,Private
371DNNCG44984CZVGVL8P3PFD2D8TG,@seanhannity @RealDrGina @MsDMcLaughlin No one is talking about shooters political affiliation!! Seems very strange.,Private
3FCO4VKOZ4K2FFCFGV47CHTJZ8KE79,@TheScotsman Nae chance of @realDonaldTrump then voting for the 113% increase in affiliation fees by @ScottishGolf #solidarity #voteno,Private
3E9VAUV7BWLI4MR4NZSLTBNPISUYAY,"@KTHopkins When can we have the name and religious affiliation of the""driver""?",Private
3DW3BNF1GHPNH43KLQLNQLD0ANT8VW,@MansaCam What's your religious affiliation?,Private
34XASH8KLQTPX98STFM7PBPD84HPMG,@Aman__Rizwan @PeterSweden7 there is no evidence of any affiliation even the brother didn't know he had guns,Private
36KM3FWE3RJ3OPXL8O5SRSRF57B07A,@2316758959 @TerryOgolf @AndthenIsleep This man can tell political affiliation by looking at a picture of someone's face. Seems legit.,Private
33P2GD6NRNZ2U4A1PQ1M1PVIX8CHKY,@jdigsgrooves @benshapiro I don't care what affiliation you claim. Weak is weak. You're weak. Floppy.,Private
3CESM1J3EIADSFK1ILTLS90NB156WI,"@AMike4761 This guy was a MURDERER regardless of his religion ,culture ,nationality, education, political affiliation etc simple as that.",Private
3VADEH0UHC4SV4LXDCIT1KOJ0TZPSS,"@StanleyKIrungu @C_NyaKundiH What talent Stan? This man got 44k votes in msa,3/4 being because of his affiliation to Baba",Private
3X2LT8FDHWP0WT3PB0QJCNWEHWV8W6,@A7_Mirza Do the people of Mayadin have a strong affiliation to ISIS?,Private
3OPLMF3EU5U5O6EUDO80L95T8KQLNE,@ProfJNMoyo can that be on him alone yyy not others. don't hate or try to hide the truth becoz of yr affiliation.,Private
36MUZ9VAE69IWODP787TC93FLJNDE1,"@jaketapper Screw Weinstein, screw Weiner,screw Trump, no matter the affiliation, screw sexual predators",Private
30EMX9PEVKQRKDOH0KDL532K6JTKSM,David Allen Coe's affiliation with the Outlaws Motorcycle Club may be responsible for the term Outlaw Country. #CountryMusic #History,Private
